codigo_aluno;nome_aluno;idade_aluno;email_aluno
1;Emerson P. Eaton;52;a.mi@diamProindolor.com
2;Cameran Golden;92;ut.eros@orci.org
3;Kato Slater;73;Aliquam.adipiscing@Nunclectus.edu
4;Rashad O. Thompson;100;vel@interdum.org
5;Lamar A. Lewis;64;orci.Phasellus.dapibus@duiSuspendisse.org
6;Rina J. Santana;57;eget.massa.Suspendisse@quamafelis.co.uk
7;Stewart T. Gilmore;54;dapibus@molestieSedid.co.uk
8;Piper O. Ramirez;75;nec@arcuVestibulum.com
9;Nora Y. Melton;92;mauris.blandit.mattis@orci.com
10;Keefe Farley;44;libero.est.congue@augueidante.net
11;Keelie Fuller;26;Phasellus.dapibus.quam@sit.co.uk
12;Len W. Snyder;50;eget.dictum.placerat@Vestibulumaccumsanneque.net
13;Salvador S. Wright;47;ut.nulla@disparturientmontes.edu
14;Ivan M. Olson;47;ultrices.iaculis.odio@dis.net
15;Reed Perry;71;justo@habitantmorbitristique.ca
16;Freya M. Miranda;35;Etiam.gravida.molestie@ligulaeu.com
17;Bo B. Williams;18;erat@idnuncinterdum.edu
18;Hamish Pratt;37;tincidunt@estarcuac.co.uk
19;Felicia Barber;19;euismod@odioNaminterdum.com
20;Colby R. Daniels;33;eu@atarcu.com
21;Tanner K. Parks;32;sapien.gravida.non@Morbi.ca
22;Ivan Herrera;90;Sed.id@ametloremsemper.org
23;Kasimir X. Ortega;99;in.sodales@neceuismodin.edu
24;Francis B. Nixon;71;vulputate@lobortisquama.co.uk
25;Maxine Curry;86;erat.vel@antelectusconvallis.ca
26;Emerson R. Weiss;32;odio@etlaciniavitae.org
27;Eliana Day;63;diam.Pellentesque.habitant@disparturient.org
28;Diana Velazquez;23;Quisque.purus.sapien@duiaugue.edu
29;Charity Key;76;aliquet.metus@justoeuarcu.co.uk
30;Vivien Lancaster;38;Vestibulum.accumsan@egestasblanditNam.co.uk
31;Jelani Trujillo;34;nisl.elementum.purus@vehiculaaliquet.org
32;Dennis V. Richardson;44;Nunc.mauris@Nullaaliquet.org
33;Jane Pickett;96;Phasellus@tempor.org
34;Wynne F. Lamb;64;elit@necante.co.uk
35;Baxter Lynn;95;Vivamus.euismod@eu.net
36;Robin Buchanan;25;et@a.net
